feature_set,variant,block,n_features,estimator,calibration,auc,auc_pr,brier_skill,ece,stability_random,stability_temporal,icc,player_discrimination
xcross,full,-,62,adaboost,sigmoid,0.570896742541269,0.4054922609261826,0.014225651666762151,0.010203298459398399,0.7755780004734475,0.7095557484415688,0.13574307983026235,0.020002030330244225
xcross,base,-,45,adaboost,sigmoid,0.5673354602124373,0.40214471913173355,0.012636478134113172,0.009167504929556251,0.7632920381914307,0.697293458533891,0.13336639548987939,0.019922891957353337
xcross,drop-one,coverage,60,adaboost,sigmoid,0.5725622342825116,0.40749839582303893,0.014913266629958843,0.008961253916880312,0.7704489860332991,0.7218732738893711,0.13843964638908066,0.020863951537592348
xcross,drop-one,gk,58,adaboost,sigmoid,0.5703328404756786,0.40451793969822,0.013660314226995762,0.009904458215432649,0.7736921013177622,0.7299534443304664,0.14227494087168874,0.019810027983454204
xcross,drop-one,marking,59,adaboost,sigmoid,0.5710363587896021,0.4050675884594732,0.014356706159242116,0.010923919388618699,0.7544780241458219,0.6771009232225993,0.13308786644243742,0.02000597592008153
xcross,drop-one,pocket,60,adaboost,sigmoid,0.570896742541269,0.4054922609261826,0.014225651666762151,0.010203298459398399,0.7755780004734475,0.7095557484415688,0.13574307983026246,0.02000203033024423
xcross,drop-one,pressure,60,adaboost,sigmoid,0.5696831103408765,0.4050439392291696,0.013519214395858015,0.010615290384022874,0.7624871774638996,0.6978931586838161,0.1315307035201231,0.019301477760992617
xcross,drop-one,shape,58,adaboost,sigmoid,0.5693224382690351,0.4047172111319816,0.013400759501354886,0.009321840357283,0.7731397459165155,0.7078592282805966,0.1362165033392508,0.019538654096184088
xcrossot,full,-,93,adaboost,isotonic,0.8096460807719027,0.6523508817602963,0.2651629703269923,0.006217016388660229,0.2802098950524738,0.17128540992661564,0.02865615720179731,0.059914849444557064
xcrossot,base,-,56,adaboost,isotonic,0.7770121128649208,0.6130749388622512,0.21180302897990988,0.004333538707547066,0.30078118835319184,0.19875325495147164,0.03259235315598574,0.05576361083603951
xcrossot,drop-one,clearance,91,adaboost,isotonic,0.8079309563281929,0.656312242070647,0.26200624290584407,0.005352145697228018,0.26288960782766513,0.19606249506825535,0.030701122918230826,0.060497991740049634
xcrossot,drop-one,coverage,91,adaboost,isotonic,0.8096460807719027,0.6523508817602963,0.2651629703269923,0.006217016388660229,0.2802098950524738,0.17128540992661564,0.02865615720179729,0.05991484944455706
xcrossot,drop-one,flight,85,adaboost,isotonic,0.7977243677772379,0.6410652275897664,0.24652022120932449,0.007953463161863489,0.34240511323285727,0.164870196480707,0.030372494354030534,0.058949506501637924
xcrossot,drop-one,gk,89,adaboost,isotonic,0.8096460807719027,0.6523508817602963,0.2651629703269923,0.006217016388660229,0.2802098950524738,0.17128540992661564,0.028656157201797317,0.059914849444557064
xcrossot,drop-one,marking,90,adaboost,isotonic,0.8096460807719027,0.6523508817602963,0.2651629703269923,0.006217016388660229,0.2802098950524738,0.17128540992661564,0.02865615720179729,0.05991484944455707
xcrossot,drop-one,pocket,91,adaboost,isotonic,0.8096460807719027,0.6523508817602963,0.2651629703269923,0.006217016388660229,0.2802098950524738,0.17128540992661564,0.02865615720179729,0.059914849444557064
xcrossot,drop-one,pressure,91,adaboost,isotonic,0.8096460807719027,0.6523508817602963,0.2651629703269923,0.006217016388660229,0.2802098950524738,0.17128540992661564,0.028656157201797285,0.05991484944455706
xcrossot,drop-one,shape,89,adaboost,isotonic,0.8096460807719027,0.6523508817602963,0.2651629703269923,0.006217016388660229,0.2802098950524738,0.17128540992661564,0.028656157201797247,0.05991484944455707
xcrossot,drop-one,support,90,adaboost,isotonic,0.8077876894742009,0.6521603916209446,0.2625491368937253,0.004538650748612462,0.2921249901365107,0.18189852442199952,0.029839238788145928,0.06004772853887627
xcrossot,drop-one,swing,90,adaboost,isotonic,0.8085761814602671,0.6517925521555555,0.2636270276291913,0.005128892904379242,0.27727452063441965,0.16904442515584314,0.027630332216424153,0.05914924317267512
xcrossot,drop-one,temporal,89,adaboost,isotonic,0.8024626985774135,0.6425265820903755,0.2525805099227064,0.011294131295469198,0.23670007101712304,0.14028249033378049,0.028499146460111074,0.058738302298547394
