feature_set,label,estimator,calibration,auc,auc_pr,log_loss,brier,brier_skill,ece,cal_slope,cal_intercept,std,p5,p25,p50,p75,p95,range_5_95,player_discrimination,stability,icc,stability_temporal,topk_overlap_temporal
xcross,success,xgboost,isotonic,0.577506696745543,0.40515120299342194,0.6389630549781123,0.2237158108192904,0.015524449113330063,0.00810637320760174,0.9826612977099008,0.00046969646157944017,0.059246256602308985,0.24253572523593903,0.31842832763989765,0.3532857100168864,0.3821667234102885,0.42295469840367633,0.1804189731677373,0.014990407185082422,0.47666273186249253,0.04548572386323953,0.38661667802772093,0.13333333333333333
xcross,success,xgboost,sigmoid,0.5792369260162916,0.406082155514144,0.6389483954956178,0.22368805955673654,0.015646570296408147,0.014331742732529799,1.3505886035574373,0.22542266351107304,0.04594160400752096,0.274323106089736,0.31554975991747836,0.3461885790651948,0.37710507878479244,0.424792277745575,0.150469171655839,0.012786368614503406,0.5680693412251097,0.0557106914042702,0.447240372199223,0.2
xcross,success,adaboost,isotonic,0.5743977285930058,0.4021692520000455,0.638923785435512,0.2236916913073966,0.015630588548320445,0.011071346556261123,0.9386208836372054,-0.028365296311030266,0.06269647209336754,0.23800096001198834,0.31167256376234703,0.35174516246805404,0.39303628841324034,0.43077054848363394,0.1927695884716456,0.02273431206414669,0.7227819619709489,0.11367151734583787,0.6238798277553328,0.3333333333333333
xcross,success,adaboost,sigmoid,0.5776859758852614,0.40603941214063066,0.638441673515678,0.22347984813837668,0.01656281778933255,0.013400647285004189,1.1716688978431011,0.11342995220770252,0.05315478987290396,0.2619906336256329,0.3095957831106526,0.3478418247360911,0.38568154968209784,0.4321617203035955,0.1701710866779626,0.020615732685790006,0.7345836035047467,0.13046343413409314,0.6556519859677125,0.3333333333333333
xcross,success,catboost,isotonic,0.5773547693737656,0.40353813032381824,0.6383196309879293,0.22338234144174057,0.016991902164435135,0.006149374808918572,0.9628440945784259,-0.012529521213449473,0.06284516064606413,0.22632247632247635,0.3132716049382716,0.35997749586572114,0.38794346220443104,0.42522935069167195,0.1989068743691956,0.019290954861921814,0.6517947694814371,0.07988711132234662,0.48700960424737166,0.4
xcross,success,catboost,sigmoid,0.5797777648683887,0.40767426921077154,0.6381694781032912,0.22336272634584978,0.017078219632396197,0.014109458521731205,1.2549508426176688,0.16618080541617414,0.05106960874742351,0.2642922824010444,0.3120328847389037,0.34810968460311525,0.3801049515001796,0.4301281903983796,0.16583590799733516,0.01716040890961693,0.6754562433149893,0.09355607824404298,0.5413791765729519,0.4
xcross,success,lightgbm,isotonic,0.5758715451247692,0.40592729257770155,0.6393850377399414,0.2238609765331885,0.014885638223584241,0.006258121805457903,1.0813508984880826,0.057852001489758345,0.05319973842431518,0.25557728473953284,0.3223266026801883,0.3547869674185464,0.3775958288385473,0.4187118733391122,0.16313458859957936,0.013898896499063102,0.5678532040944131,0.05002115053077173,0.3880575922323641,0.26666666666666666
xcross,success,lightgbm,sigmoid,0.5795489136749157,0.4089502937046745,0.6392173279262587,0.22378843976668794,0.015204840844528444,0.014140593900551618,1.4993202454390973,0.31589159559128616,0.041688257023607005,0.28075087685540634,0.32022470023041943,0.34741864574381864,0.37316782362097617,0.4173628980919787,0.13661202123657235,0.011613737140286951,0.5882255141569821,0.05686219910994565,0.44578283206144953,0.2
xcross,success,histgb,isotonic,0.579321902069375,0.40989086141497866,0.6383690011357266,0.22348462919411635,0.016541778451675038,0.0069148290939842205,1.1766972588322027,0.11794635967733665,0.05277314057136236,0.2527279610783456,0.32275606464398554,0.3540813252041635,0.3776173074948868,0.41480972089237295,0.16208175981402734,0.014166669917044001,0.5125969153352065,0.05282602016801042,0.35816139347487547,0.2
xcross,success,histgb,sigmoid,0.5802962704775183,0.4093606268821354,0.6389612341502116,0.223693587791642,0.015622242949654863,0.012916172370694961,1.5054968188847881,0.3210187562497684,0.04226669075121218,0.27449744110954805,0.32317620212049564,0.35040151296897637,0.3737863311108866,0.4121330120073565,0.13763557089780848,0.01193081101116244,0.590228939099207,0.059919263765956264,0.4464922052083507,0.26666666666666666
xcross,success,random_forest,isotonic,0.5763976834101442,0.405741199773382,0.6385399697248635,0.22348567088444668,0.016537194427604374,0.00781607417248347,0.9120681603275395,-0.042074313586507636,0.06592782410377848,0.23334739803094232,0.31058504126350156,0.35120334736281494,0.3896534591934673,0.441887512859434,0.2085401148284917,0.023763835517298805,0.6878813573411807,0.11141073942390858,0.6050980652955814,0.26666666666666666
xcross,success,random_forest,sigmoid,0.5785211326697908,0.4076330117417011,0.6383162021785478,0.22342304524587522,0.01681278250430962,0.015944925977323988,1.117427034315861,0.08269655554234771,0.05584323462610165,0.25666708977723823,0.30665278506689425,0.3475625835765384,0.3840421881576625,0.43974941587216315,0.18308232609492492,0.021501848943883038,0.7236603654380102,0.12678968738334162,0.6572813274145012,0.26666666666666666
xcross,success,logreg,isotonic,0.586317144959529,0.4140827584237619,0.6362847181762303,0.22247487304626604,0.020985274136113397,0.0031405236008247195,0.9438530072604007,-0.0254638212955399,0.07143711414215616,0.2217116316213752,0.3040103918890577,0.34898695759153825,0.4022050210991428,0.4480780391889003,0.22636640756752513,0.02138620215055186,0.5690253323801131,0.07440516549050374,0.47794292871354066,0.4
xcross,success,logreg,sigmoid,0.5877450202031937,0.4161223930451622,0.6361375541496644,0.22246845679943442,0.021013509235416672,0.011414405751699754,1.146461791473728,0.09754889368166601,0.06122619262566047,0.2513639558306839,0.3055084220817053,0.3454054521367702,0.3877564570879626,0.45098518960293743,0.19962123377225355,0.019264148727866307,0.5910713197111521,0.0808639764176948,0.49177016310040406,0.4
xcross,shot_in_window,xgboost,isotonic,0.5779142872132093,0.3504532659016941,0.6020133085112934,0.20629366247931558,0.014891337609376998,0.010483774152871194,1.140146276936649,0.12576651347545004,0.04903142170302982,0.21234885354836783,0.2668673247098923,0.30292309323946637,0.33059263229370117,0.36386645833651227,0.15151760478814444,0.012810221299166095,0.46323174888190605,0.047488666315746456,0.40672297316020195,0.3333333333333333
xcross,shot_in_window,xgboost,sigmoid,0.5797331678073544,0.3523333811012597,0.6026833559839704,0.20654795575166943,0.013677017681305692,0.020724013702582738,1.5143139508168244,0.4403506047073623,0.037642879486604885,0.24060903243838008,0.2705392263327436,0.2954447945872842,0.32195951822173474,0.3638373226308396,0.12322829019245954,0.010233720791816905,0.4689760087784927,0.050399973172090516,0.43980858008989093,0.26666666666666666
xcross,shot_in_window,adaboost,isotonic,0.5812701772434979,0.3505828319116977,0.601456382058777,0.20602709987979825,0.016164246930477466,0.003446883791328975,0.9445798614821309,-0.043950521670145216,0.06078418358700388,0.20175281013284263,0.24866289300157565,0.30196702570525047,0.3551276675271584,0.3809084305281667,0.17915562039532407,0.02263841145451108,0.6844037663280518,0.12354844190490794,0.6325086870500607,0.26666666666666666
xcross,shot_in_window,adaboost,sigmoid,0.5816247356834071,0.3510790318427668,0.6012653978033745,0.20596032676604648,0.01648310681197418,0.006820986554810462,1.1263004130073342,0.10865166914501038,0.05242117048806004,0.22215255960476615,0.25566053317159915,0.2923848893892545,0.348486714005744,0.37785102031760204,0.15569846071283588,0.0208298257675763,0.7168742137319124,0.13921926267698634,0.6622275425208239,0.3333333333333333
xcross,shot_in_window,catboost,isotonic,0.5792519013038744,0.3512377131661799,0.6013595627075207,0.20602936686636175,0.01615342144958587,0.006494814422205853,1.039808222914217,0.04012954111706758,0.05543547657413547,0.20439617677907942,0.2582885481899269,0.3014508204320015,0.3384960543400685,0.37871183278392634,0.17431565600484691,0.017082542296686747,0.5081522492116537,0.07581923762234791,0.5113222604618683,0.3333333333333333
xcross,shot_in_window,catboost,sigmoid,0.5816272047045464,0.3524631655024992,0.6017963907483097,0.20620543460016347,0.01531264986382308,0.012922496107279538,1.3205778396530057,0.2774092060460953,0.04443444847673237,0.2290743879236161,0.2643958842105281,0.2952964539385117,0.3286007751598926,0.3718954916288865,0.14282110370527043,0.014781887340651551,0.5536574281898239,0.08816268632625571,0.5505345237501456,0.2
xcross,shot_in_window,lightgbm,isotonic,0.5765790721005304,0.3483082363828138,0.6024170190045397,0.20647574143870775,0.014021860777269746,0.011657863117040165,1.1353618923932214,0.12245368851701637,0.04789846938739832,0.21342607543128203,0.26699352151752415,0.30221089834589626,0.3301921413117584,0.36519833179080335,0.15177225635952132,0.012560143075348916,0.4650162657045794,0.04892691790007644,0.4189319500556969,0.26666666666666666
xcross,shot_in_window,lightgbm,sigmoid,0.5749649451530593,0.3473253826947048,0.6035582430550548,0.2069125552693619,0.011935955261522024,0.016756157821219954,1.4619855070060754,0.39625321632688665,0.03607045933451855,0.2421223187323813,0.27222589631454625,0.295909153147859,0.3211422700650683,0.3595143373304281,0.1173920185980468,0.01020285829082683,0.5110922683868966,0.056597937607998104,0.45941609722845694,0.2
xcross,shot_in_window,histgb,isotonic,0.5750624102003004,0.35203738779221305,0.6026847796513188,0.2065542183472348,0.013647112074578138,0.005644919358757432,1.1170892290998835,0.10544554988985361,0.04775764518684936,0.21499311900195486,0.2681855581159997,0.30322473905114716,0.3320945073540687,0.3596335379590272,0.14464041895707233,0.012768281673001071,0.44826286708674856,0.049206731096339267,0.44651991509690153,0.26666666666666666
xcross,shot_in_window,histgb,sigmoid,0.5752266613938182,0.35058419369887256,0.6032461026472075,0.2067808314407219,0.012564972571491584,0.017988425118335576,1.470023730103363,0.40314325932281714,0.03682507110871095,0.23448928364320365,0.27483919604106627,0.29923573156219696,0.32247029579367636,0.3549203107792581,0.12043102713605447,0.010158091942056897,0.5008091287456843,0.05475685770120281,0.45651487189718526,0.26666666666666666
xcross,shot_in_window,random_forest,isotonic,0.5805292607722692,0.35288494940212994,0.6019914447622865,0.20625318764631137,0.01508461600737554,0.003877007042158813,0.9012387659207218,-0.07373204902748615,0.06139761660015474,0.1997044058737617,0.24822865232157607,0.3013836398593069,0.34291546889972085,0.38244279018472566,0.18273838431096395,0.02163473731572242,0.5746199588785255,0.10209532006880827,0.630713086271967,0.2
xcross,shot_in_window,random_forest,sigmoid,0.5808406551192125,0.35150711661761525,0.6018381262484618,0.20621167763652593,0.015282837657639048,0.011917683392658895,1.1232712306804185,0.11308300383022532,0.050805507121366195,0.22218383415910528,0.2556901721498985,0.2925120870454583,0.3350149560951816,0.3820794723716183,0.15989563821251304,0.01924553176917115,0.6224001197067186,0.11920392710352795,0.6618977948470691,0.26666666666666666
xcross,shot_in_window,logreg,isotonic,0.5940052657041477,0.36230409913446693,0.5984632973122032,0.20482399448304392,0.021909404265257115,0.0032473471242559955,0.9850281918951647,-0.007101879622815482,0.06779582138886736,0.1876243582125935,0.24734010514812807,0.30347776631984846,0.35177930321141243,0.3902486658318401,0.2026243076192466,0.021346648753054358,0.5578305374055785,0.08094982426748003,0.526496195432302,0.4
xcross,shot_in_window,logreg,sigmoid,0.5934363051732542,0.3626212233341123,0.5990036013150029,0.20506191360212933,0.020773275397590663,0.011122346804801014,1.1348103581843003,0.11833337003473728,0.0587783721377469,0.2058203274849477,0.25583781304579567,0.2947755660628688,0.33787784459575065,0.3970379949707323,0.1912176674857846,0.019271249880508035,0.5926286154477087,0.08667264641170715,0.513985180751603,0.26666666666666666
xcrossot,success,xgboost,isotonic,0.8438147405858281,0.7245862880110104,0.4600650438384597,0.15241449831253717,0.3292903767514487,0.008057698773006395,1.044957359029375,0.010436864744954408,0.2662271106943061,0.003418803525467714,0.07662749290466309,0.3496365547180176,0.5594099958737692,0.7923618992169696,0.7889430956915019,0.0577231924564665,0.31675173602451767,0.021341742861598376,0.18097605311431436,0.13333333333333333
