feature,importance
entropy_attack_in_zone,0.05202653143954765
end_y,0.038004685431178256
flight_pace_3d,0.0338929102941089
distance_from_end_line,0.029124563791670145
flight_hang_time,0.01845752763648989
temporal_entropy_diff_zone_delta,0.016138987213352586
flight_descent_angle,0.015161058074929313
pitch_control_in_zone,0.01234784059569174
support_ratio_ring,0.012168444198933991
clearance_over_keeper,0.011628553416821652
temporal_pitch_control_zone_delta,0.007892586991659446
support_attackers_ring,0.0074798294283876295
flight_apex_height,0.007188371054793463
clearance_min_margin_over_defender,0.006521833222937446
swing_inout,0.006474188651440805
end_x,0.005626066661890983
polar_angle_cross,0.005325371075455587
temporal_defenders_in_box_delta,0.00465299921443676
entropy_diff_grad_towards_goal,0.0040943909220935385
gk_lateral_speed,0.0037122620119266923
entropy_diff_in_center_box,0.003626210081774639
entropy_diff_in_second_post,0.003585858046731505
entropy_diff_in_first_post,0.003281273107520799
pitch_control_grad_towards_goal,0.00324505350980151
zone_ratio,0.0030184987106440797
entropy_attack_in_second_post,0.0028519857949542704
flight_launch_angle,0.002791700826938093
attackers_near_action_line,0.0027034611358499163
entropy_general_in_second_post,0.002630049602217377
gk_distance_off_line,0.002459404249203989
flight_loftiness,0.0024158921150309485
coverage_kl_attack_defense_in_zone,0.002333000284008824
entropy_diff_in_zone,0.002324249240264509
entropy_attack_sum,0.0022034362196836853
pitch_control_around,0.002159681000962399
cross_region_byline_touchline,0.002065850365259769
flight_apex_timing,0.0020624471815814394
attackers_in_box,0.0020026483826622197
defenders_near_action_line,0.002001919129016927
pocket_radius_in_box,0.0019900079861427055
marking_max_attacker_gap_in_box,0.0019358001318378949
entropy_general_around,0.0018823215311783992
swing_curl_magnitude,0.0018436710879744522
entropy_attack_in_first_post,0.0018363785515208785
entropy_defense_in_zone,0.001827141338679694
start_y,0.0017831430354097622
entropy_defense_in_second_post,0.0017354984639132765
shape_block_area,0.0016693794667341777
entropy_defense_grad_towards_goal,0.0016127407669448868
entropy_attack_in_center_box,0.001608365245072707
gk_ball_distance,0.0015981556940376728
attackers_in_zone,0.001593294003068646
start_x,0.001571659478256393
entropy_attack_around,0.0015706871400626098
entropy_general_in_center_box,0.0015602345044791299
entropy_diff_around,0.001489983069976497
pitch_control_sum,0.0014894969008796056
temporal_attackers_in_box_delta,0.001379379600430708
shape_block_width,0.0013618775129421224
shape_line_height,0.0013596897520061102
coverage_kl_attack_defense_in_box,0.0013434030872596868
entropy_diff_sum,0.0013215254778990327
entropy_defense_around,0.0012685330463365174
shape_last_line_to_gk_gap,0.0012673176235942663
entropy_general_in_zone,0.0012495724515572792
distance_start_from_goal,0.0012388767314253535
entropy_general_in_first_post,0.0012087342474172758
pitch_control_in_first_post,0.0011640066905020507
pitch_control_in_center_box,0.0011350796292362464
entropy_general_grad_towards_goal,0.001088407395933344
pitch_control_in_second_post,0.0010718776466386748
defenders_in_zone,0.0010694468011541503
defenders_in_box,0.0010670159556696256
marking_mean_gap_in_box,0.001051215460020205
entropy_defense_in_center_box,0.0010094049176865073
pressure_crosser_nearest_def,0.0009807209409691043
entropy_attack_grad_towards_goal,0.0009717268126763212
box_ratio,0.00093672263769915
entropy_general_sum,0.0009158173665322789
support_defenders_ring,0.0008499414539017369
cross_region_deep_halfspace,0.0008178542935060706
cross_region_byline_halfspace,0.0007595140018775703
cross_region_deep_touchline,0.0007595140018775703
cross_region_mid_halfspace,0.0007595140018775703
cross_region_mid_touchline,0.0007595140018775703
pressure_crosser_def_within_3m,0.0007595140018775703
marking_free_attackers_in_box,0.0007595140018775703
pocket_goal_angle_in_box,0.0007595140018775703
gk_present,0.0007595140018775703
flight_bounce_count,0.0007595140018775703
swing_cutback,0.0007595140018775703
entropy_defense_in_first_post,0.0007505198735848539
entropy_defense_sum,0.0007099247539932962
