feature_set,variant,n_features,auc,auc_pr,brier_skill,ece,stability,icc,player_discrimination
xcross,with_entropy,62,0.5816247356834071,0.3510790318427668,0.01648310681197418,0.006820986554810462,0.7168742137319124,0.1392192626769862,0.020829825767576304
xcross,no_entropy,38,0.570232742190136,0.34584500003237256,0.011911298321021335,0.009366155312400558,0.6953879661496002,0.12643550794667918,0.016117678291259773
xcrossot,with_entropy,93,0.7265362617254865,0.4832057360935837,0.12981827134115387,0.010749952146826535,0.41580904561601856,0.037525694383562624,0.04069568920766898
xcrossot,no_entropy,65,0.722355350908141,0.4737672974284538,0.1254492008974113,0.0054704462498728675,0.37504502856889516,0.029103385144006042,0.03635819043279553
