league,feature_set,n,auc,auc_pr,log_loss,brier,brier_skill,ece,cal_slope,cal_intercept,std,p5,p25,p50,p75,p95,range_5_95,player_discrimination,stability,icc
brasileirao,xcross,3000,0.5813991196557167,0.39764243440594604,0.6315258338473559,0.22018714931279237,0.017368208030237753,0.007335028165431369,1.1582208266018743,0.08076953728596768,0.054099536792107085,0.2548364409605895,0.30448061468766524,0.34293691222051514,0.384191944897823,0.42750778222555674,0.17267134126496725,0.01762375999778089,0.6661943319838056,0.08270498308336345
brasileirao,xcrossot,3000,0.8459367752741964,0.721529597568676,0.4610963360988088,0.15174122028930775,0.322822663929651,0.039983442932743404,1.1078936653637066,0.16482540126721315,0.2533766333202511,0.0651095386515084,0.08539690516382992,0.24511890994431762,0.5279417213166072,0.8003610178561796,0.7352514792046713,0.05696854274452186,0.18299595141700403,0.016273029415475333
champions-league,xcross,1228,0.570058851524684,0.422213419572118,0.6427903281146471,0.2253757163462719,0.013734999133140025,0.012825410777760476,1.0004771520695008,0.05449331028757605,0.05251204466449917,0.26189428327633363,0.30140280281589993,0.33896869871576124,0.37939927481470587,0.42874955200005027,0.16685526872371664,NaN,NaN,NaN
champions-league,xcrossot,1228,0.8301605358158538,0.7109165244757804,0.4815237986133195,0.1607967211201694,0.29633866121000385,0.04171674517875636,1.0541869381431033,0.03865317828598797,0.2568160761938758,0.0655755334095541,0.10105167455238023,0.29011553396515055,0.5665653370999186,0.8166479894282852,0.7510724560187311,NaN,NaN,NaN
premier-league,xcross,7171,0.577684186934101,0.4065355211634071,0.6390483603591309,0.22380497674509503,0.016990594038006734,0.018114601884438548,1.2053654354168362,0.1260417670958279,0.05270412612161964,0.2638043624845437,0.3129790362982945,0.35072569870146064,0.3870621705946834,0.43577100844139627,0.17196664595685257,0.021697861410341076,0.7629071463296061,0.14774333611787574
premier-league,xcrossot,7171,0.8462711457025966,0.7303272763855952,0.4617269702592334,0.15274881160295725,0.32908766936741385,0.03113419699031247,1.1011817493444422,-0.018802143351801446,0.266172531641914,0.06540672006930512,0.09296910934346689,0.3040223593441656,0.580062628836022,0.8353833449278949,0.7699766248585898,0.05465022580928824,0.17032432807833875,0.018441867619657302
