feature_set,block,d_auc,d_brier_skill,d_ece,d_stability_random,d_stability_temporal,d_icc,d_player_discrimination
xcross,ALL_NEW,0.003561282328831683,0.0015891735326489798,0.0010357935298421477,0.012285962282016838,0.012262289907677748,0.002376684340382962,0.00007913837289088774
xcross,coverage,-0.0016654917412426418,-0.0006876149631966921,0.0012420445425180872,0.0051290144401483495,-0.012317525447802291,-0.0026965665588183085,-0.0008619212073481229
xcross,gk,0.000563902065590427,0.0005653374397663891,0.00029884024396575025,0.0018858991556852667,-0.020397695888897616,-0.00653186104142639,0.00019200234679002046
xcross,marking,-0.0001396162483331409,-0.00013105449247996503,-0.0007206209292202996,0.021099976327625614,0.032454825218969474,0.0026552133878249284,-3.945589837305724e-6
xcross,pocket,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-3.469446951953614e-18
xcross,pressure,0.0012136322003925004,0.0007064372709041367,-0.00041199192462447465,0.013090823009547892,0.011662589757752695,0.0042123763101392375,0.0007005525692516078
xcross,shape,0.0015743042722339284,0.000824892165407265,0.0008814581021153994,0.002438254556932029,0.0016965201609722147,-0.0004734235089884631,0.0004633762340601373
xcrossot,ALL_NEW,0.03263396790698192,0.05335994134708244,0.001883477681113163,-0.020571293300718052,-0.027467845024855997,-0.003936195954188433,0.004151238608517557
xcrossot,clearance,0.0017151244437098034,0.0031567274211482532,0.0008648706914322103,0.01732028722480866,-0.024777085141639704,-0.002044965716433516,-0.0005831422954925697
xcrossot,coverage,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,6.938893903907228e-18
xcrossot,flight,0.011921712994664824,0.018642749117667834,-0.00173644677320326,-0.06219521818038348,0.006415213445908646,-0.0017163371522332244,0.0009653429429191396
xcrossot,gk,0.0,0.0,0.0,0.0,0.0,-6.938893903907228e-18,0.0
xcrossot,marking,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,-6.938893903907228e-18
xcrossot,pocket,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0
xcrossot,pressure,0.0,0.0,0.0,0.0,0.0,2.42861286636753e-17,6.938893903907228e-18
xcrossot,shape,0.0,0.0,0.0,0.0,0.0,6.245004513516506e-17,-6.938893903907228e-18
xcrossot,support,0.0018583912977018224,0.002613833433267043,0.0016783656400477668,-0.01191509508403693,-0.01061311449538388,-0.001183081586348618,-0.00013287909431920764
xcrossot,swing,0.0010698993116355915,0.001535942697800996,0.0010881234842809867,0.0029353744180541375,0.002240984770772503,0.0010258249853731562,0.0007656062718819426
xcrossot,temporal,0.0071833821944892184,0.0125824604042859,-0.00507711490680897,0.04350982403535075,0.03100291959283516,0.00015701074168623583,0.0011765471460096696
