feature,importance,importance_std
entropy_attack_in_zone,0.06481795467639591,0.008859010597600254
entropy_defense_in_zone,0.03468744577230213,0.008782478965966779
flight_pace_3d,0.03375729625724692,0.0062262167317883475
entropy_general_in_zone,0.03116266866261941,0.012800759361156738
end_y,0.026002210671972652,0.0008433106086688002
support_attackers_ring,0.0194825249070039,0.0020686934189115985
pitch_control_in_zone,0.018915220094415968,0.00030375243594575493
temporal_entropy_diff_zone_delta,0.015252216431412391,0.0015650211089791712
clearance_over_keeper,0.014296149437609595,0.003031356230490986
support_ratio_ring,0.009455340351517369,0.001821536062272838
entropy_diff_in_zone,0.008516551676879702,0.00400831558022415
flight_descent_angle,0.007946367144431013,0.0020401712680448193
temporal_defenders_in_box_delta,0.005893126883643629,0.0002242116670101195
swing_inout,0.005109843081491872,0.0025347195410732122
flight_hang_time,0.005086805322605081,0.0011014166162593667
pitch_control_in_center_box,0.004810352215963228,0.0009376042389260666
clearance_min_margin_over_defender,0.004795953616659039,0.0016108783280122
attackers_near_action_line,0.004689403981807468,0.0016372214140209982
flight_loftiness,0.004093301970611159,0.0034838207706237028
temporal_attackers_in_box_delta,0.00404146701311577,0.0011198297127138108
support_defenders_ring,0.004035707573394072,0.0013345443344138727
attackers_in_box,0.003523117438162545,0.0005135760573537389
zone_ratio,0.003413688083450032,0.0003807987189271949
entropy_diff_in_center_box,0.003122836377504027,0.00020797878320623193
entropy_diff_sum,0.003027805622095925,0.0010300625508115088
flight_apex_timing,0.0027139161572630557,0.00042183718686618246
box_ratio,0.00265344204018525,0.0006895952057085485
pitch_control_around,0.002595847642968163,0.0013533335324897053
pitch_control_sum,0.002541132965611944,0.0005114077628577162
shape_block_width,0.0024000266924301497,0.0013499222465011439
pitch_control_in_first_post,0.0023769889335433967,0.00020665877759356896
pressure_crosser_nearest_def,0.0023683497739608685,0.0001280099452328271
pitch_control_in_second_post,0.0023280336959089487,0.0004151793103114147
pocket_goal_angle_in_box,0.002270439298691862,0.000441246009507888
gk_ball_distance,0.002221484061057377,0.00020054928175730966
marking_mean_gap_in_box,0.0022013260220314543,0.0006046177416173618
coverage_kl_attack_defense_in_zone,0.002161009943979497,0.0003224257608745183
marking_max_attacker_gap_in_box,0.0020717386282930552,0.00040869708246989454
shape_block_area,0.002028542830380342,0.0004976335898788451
polar_angle_cross,0.0019507903941372955,0.0007042195800292794
defenders_in_box,0.0019191134756679773,0.00022332222879192237
gk_distance_off_line,0.001916233755807036,0.00032851533177535305
marking_free_attackers_in_box,0.00189607571678115,0.00045563320408507544
shape_line_height,0.0018701582380334554,0.000058734991056696206
start_x,0.0018643987983117578,0.00010651071260920277
start_y,0.0018096841209555385,0.00035137302837488885
entropy_diff_grad_towards_goal,0.0017722477627644857,0.0006457382516436112
defenders_in_zone,0.0017693680429036556,0.000187026664836611
pocket_radius_in_box,0.0017664883230427142,0.0002850777218135614
entropy_attack_around,0.0017578491634602234,0.0009349825555901213
flight_apex_height,0.001703134486104078,0.00017596949936011266
swing_curl_magnitude,0.0016772170073563835,0.00042077427592906113
gk_lateral_speed,0.0016599386881912537,0.00029375965699782495
cross_region_deep_halfspace,0.0016196226101393336,0.000495897459348743
pressure_crosser_def_within_3m,0.001602344290974241,0.0005595407587049711
entropy_defense_in_first_post,0.0015879456916699786,0.0002575377763414709
shape_last_line_to_gk_gap,0.001582186251948281,0.00026254455087988264
entropy_attack_in_center_box,0.0015764268122265095,0.00009206100031762032
entropy_defense_sum,0.0015562687732005494,0.0006759310454202508
entropy_defense_in_center_box,0.001521712134870364,0.00035137302837488885
entropy_general_in_center_box,0.001521712134870364,0.0003641678752168854
entropy_attack_in_second_post,0.001510193255426932,0.0003637349522025809
entropy_general_in_first_post,0.001492914936261876,0.000595705396083703
defenders_near_action_line,0.0014036436205754343,0.0018765391263888946
coverage_kl_attack_defense_in_box,0.001380605861688644,0.0006119794301065554
distance_start_from_goal,0.0013431695034975544,0.000364918573448096
entropy_attack_sum,0.0013316506240541592,0.0005899280272144469
entropy_general_in_second_post,0.0012970939857239738,0.00009983951795425458
entropy_defense_in_second_post,0.0012855751062805416,0.000042906859566885286
cross_region_byline_halfspace,0.0012769359466979398,0.0001275556626255571
cross_region_deep_touchline,0.0012682967871153379,0.00027491899889101485
pitch_control_grad_towards_goal,0.0012423793083677175,0.0007029466373898354
attackers_in_zone,0.001227980709063492,0.0006153173647746698
entropy_general_sum,0.0012222212693417573,0.0000773782387779716
cross_region_mid_halfspace,0.0011617471522638405,0.00025572820368022686
flight_launch_angle,0.0011617471522638405,0.0010828129611502848
entropy_attack_in_first_post,0.0011588674324030472,0.000852591632275773
swing_cutback,0.0011358296735161828,0.0005226671714627087
entropy_general_around,0.0011214310742119944,0.0007781320658028401
entropy_defense_around,0.0010782352762991703,0.00020673901785195245
distance_from_end_line,0.0010379191982472502,0.0013356996283167134
entropy_attack_grad_towards_goal,0.0009803248010302006,0.0003570620384430804
entropy_diff_in_first_post,0.0009486478825608454,0.000179976731771287
cross_region_mid_touchline,0.0009400087229782805,0.00038195117450153784
entropy_defense_grad_towards_goal,0.0008824143257611938,0.0006760782536352207
entropy_general_grad_towards_goal,0.0008392185278485176,0.0005364787483864105
entropy_diff_around,0.0008017821696573909,0.00003927414269873967
gk_present,0.0006635556163364642,0.0
flight_bounce_count,0.0006635556163364642,0.0
cross_region_byline_touchline,0.000600201779397754,0.00030334264248307955
entropy_diff_in_second_post,0.0005714045807892291,0.0013166588120849395
end_x,0.0004562157863550927,0.0008036740430961696
