ranking,stability_random,stability_temporal,icc,player_discrimination
raw_rate,0.050346555524557045,-0.013299983524799913,0.010532739556694745,0.09045547255602512
xcross,0.7345836035047467,0.6556519859677125,0.13046343413409317,0.020615732685790002
xcrossot,0.3544593523644848,0.2017363016165949,0.024272328104163642,0.059414834947463795
