player_id,n,xcross,xcrossot,actual,xcross_se,execution,over_expected,xcross_ci_low,xcross_ci_high,nickname,position_group,league
18594,24,0.3916644069720103,0.3639219267718778,0.4583333333333333,0.010227062812376488,-0.027742480200132535,0.06666892636132299,0.3716193638597524,0.41170945008426824,Guilherme,CM,brasileirao
13930,27,0.3851178498188264,0.4011245181273274,0.25925925925925924,0.0126366522872339,0.016006668308501004,-0.12585859055956716,0.360350011335848,0.40988568830180483,Giorgian De Arrascaeta,AM,brasileirao
16017,36,0.379372045472026,0.4889594112643473,0.5833333333333334,0.006670861987453008,0.10958736579232126,0.20396128786130735,0.3662971559766181,0.39244693496743394,Fagner,RB,brasileirao
3893,24,0.37462877922954246,0.37307279587074765,0.4166666666666667,0.009189480390848747,-0.0015559833587948102,0.04203788743712422,0.35661739766347894,0.392640160795606,Jean Lucas,CM,brasileirao
15810,20,0.37406869490014455,0.3259823843165903,0.3,0.008894592838171721,-0.048086310583554226,-0.07406869490014456,0.356635292937328,0.3915020968629611,Calebe,CM,brasileirao
18027,38,0.37265230481185946,0.3490200158529908,0.2631578947368421,0.0072216255384814155,-0.023632288958868652,-0.10949441007501737,0.3584979187564359,0.38680669086728303,Lucas Evangelista,CM,brasileirao
1906,24,0.37194995220762705,0.3703240935169476,0.375,0.010741411792594453,-0.0016258586906794381,0.003050047792372945,0.3508967850941419,0.3930031193211122,Marcal,LB,brasileirao
16558,49,0.37052362857095916,0.37497949660698265,0.3877551020408163,0.005170752164682363,0.0044558680360234915,0.01723147346985715,0.36038895432818174,0.3806583028137366,Raphael Veiga,AM,brasileirao
16557,45,0.36652483711048406,0.37302745207461524,0.4222222222222222,0.0058781881855151106,0.0065026149641311815,0.05569738511173816,0.35500358826687445,0.37804608595409367,Joaquín Piquerez,LB,brasileirao
18082,21,0.3656157563029303,0.26462241383410856,0.3333333333333333,0.007530493134303753,-0.10099334246882175,-0.03228242296959699,0.35085598975969495,0.38037552284616566,Hugo,LB,brasileirao
2353,22,0.3649937732340545,0.3736501015566778,0.4090909090909091,0.012054180417838994,0.008656328322623308,0.0440971358568546,0.34136757961509007,0.38861996685301897,Marcelino Moreno,CF,brasileirao
17989,35,0.36263026247615254,0.3331098166258486,0.2571428571428571,0.007781696774962483,-0.029520445850303945,-0.10548740533329543,0.34737813679722607,0.377882388155079,Sander,LB,brasileirao
18081,20,0.36122292555934493,0.4513293823630479,0.4,0.011624128920932624,0.090106456803703,0.03877707444065509,0.338439632874317,0.38400621824437287,Lucas Lima,CF,brasileirao
18088,26,0.3607785997122193,0.34272742222861213,0.34615384615384615,0.010408483623622454,-0.018051177483607184,-0.014624753558373171,0.3403779718099193,0.38117922761451933,Artur,RW,brasileirao
18028,26,0.35975743284610107,0.32650650899796724,0.23076923076923078,0.00795911640195595,-0.03325092384813383,-0.12898820207687028,0.3441575646982674,0.3753573009939347,Helinho,RW,brasileirao
16015,36,0.3591447438701683,0.4032758629080511,0.3611111111111111,0.008676347384506596,0.044131119037882804,0.00196636724094279,0.3421391029965354,0.37615038474380125,Matheus Bidu,LB,brasileirao
18579,30,0.3584816689490156,0.34044488882560064,0.3,0.00865372693580906,-0.018036780123414975,-0.05848166894901563,0.3415203641548299,0.37544297374320135,Bruno Rodrigues,LW,brasileirao
17912,22,0.3560932790338835,0.35791702007271525,0.6363636363636364,0.009574306577966945,0.001823741038831761,0.28027035732975286,0.33732763814106825,0.37485891992669873,Emmanuel Martínez,CM,brasileirao
18548,21,0.3548068370949478,0.2844398791554766,0.23809523809523808,0.009240758461494117,-0.07036695793947123,-0.11671159899970973,0.33669495051041937,0.37291872367947626,Denilson,CM,brasileirao
18472,31,0.35331557979553413,0.3382207167151699,0.3548387096774194,0.008621995850477324,-0.01509486308036423,0.0015231298818852435,0.3364164679285986,0.3702146916624697,Reinaldo,LB,brasileirao
16550,54,0.35235953935819386,0.29165016114391623,0.3888888888888889,0.005140045590509023,-0.06070937821427763,0.03652934953069503,0.3422850500007962,0.36243402871559155,Mayke,RB,brasileirao
16148,41,0.3514476207635779,0.3610584587064638,0.3170731707317073,0.007220085890247908,0.00961083794288592,-0.03437445003187056,0.337296252418692,0.3655989891084638,Jhon Arias,AM,brasileirao
12963,53,0.347339903072867,0.3423926932845984,0.3584905660377358,0.007366443687493726,-0.0049472097882685695,0.01115066296486883,0.3329016734453793,0.3617781327003547,Marlon,LB,brasileirao
14526,25,0.3472790404354196,0.45078357358871046,0.56,0.00858673498823931,0.10350453315329089,0.21272095956458048,0.3304490398584705,0.36410904101236863,Leonel Di Placido,RB,brasileirao
18421,25,0.3451806936573512,0.3886033909475526,0.36,0.009209339552635632,0.04342269729020137,0.014819306342648775,0.3271303881341854,0.36323099918051704,Lucas Piton,LB,brasileirao
4995,45,0.3430271735301745,0.3526525105230507,0.35555555555555557,0.00712676169813819,0.00962533699287621,0.01252838202538109,0.3290587206018236,0.35699562645852534,William,RB,brasileirao
16136,23,0.342294906088969,0.33172024266555233,0.17391304347826086,0.009427423262730439,-0.010574663423416675,-0.16838186261070814,0.3238171564940173,0.3607726556839207,Ayrton Lucas,LB,brasileirao
16150,36,0.34045849069457496,0.3045965327648279,0.25,0.007411394708083024,-0.03586195792974706,-0.09045849069457496,0.32593215706673223,0.3549848243224177,Keno,LW,brasileirao
18029,25,0.3399851370272661,0.2890576937310163,0.24,0.008632739402747953,-0.05092744329624982,-0.09998513702726614,0.32306496779788013,0.3569053062566521,Sorriso,RW,brasileirao
18021,30,0.33761421908739364,0.27319763642220046,0.2,0.006708693337811197,-0.06441658266519318,-0.13761421908739363,0.3244651801452837,0.3507632580295036,Andrés Hurtado,RB,brasileirao
17934,21,0.3337002666226737,0.31930182106735433,0.38095238095238093,0.00797451800229699,-0.014398445555319384,0.04725211432970722,0.3180702113381716,0.34933032190717583,Daniel Borges,RB,brasileirao
16245,20,0.3330901201478965,0.38285324163367035,0.45,0.009690977402068783,0.04976312148577383,0.1169098798521035,0.3140958044398417,0.35208443585595134,Fabricio Bustos,RB,brasileirao
16175,29,0.3327962917748484,0.39892402726077447,0.3103448275862069,0.008314707930032797,0.0661277354859261,-0.022451464188641468,0.3164994642319841,0.34909311931771264,Tinga,RB,brasileirao
