feature_set,label,model_a,model_b,spearman
xcrossot,success,adaboost,lightgbm,0.9484734622397348
xcrossot,success,adaboost,logreg,0.8971214967773399
xcrossot,success,adaboost,random_forest,0.9617021630339003
xcrossot,success,adaboost,tabpfn,0.9380961089774498
xcrossot,success,adaboost,xgboost,0.9439844602945007
xcrossot,success,catboost,catboost,1.0
xcrossot,success,catboost,histgb,0.983069258095444
xcrossot,success,catboost,lightgbm,0.982196396606093
xcrossot,success,catboost,logreg,0.9247454846736606
xcrossot,success,catboost,random_forest,0.955270697901253
xcrossot,success,catboost,tabpfn,0.9750306194268488
xcrossot,success,catboost,xgboost,0.9847706452524647
xcrossot,success,histgb,histgb,1.0
xcrossot,success,histgb,lightgbm,0.9926735054671609
xcrossot,success,histgb,logreg,0.914520535798405
xcrossot,success,histgb,random_forest,0.9285001745722978
xcrossot,success,histgb,tabpfn,0.9732211637044795
xcrossot,success,histgb,xgboost,0.9893843416961776
xcrossot,success,lightgbm,lightgbm,1.0
xcrossot,success,lightgbm,logreg,0.9145648716200863
xcrossot,success,lightgbm,random_forest,0.9312379115611197
xcrossot,success,lightgbm,tabpfn,0.9712565326062259
xcrossot,success,lightgbm,xgboost,0.9905897218481388
xcrossot,success,logreg,logreg,1.0
xcrossot,success,logreg,random_forest,0.8890135833873677
xcrossot,success,logreg,tabpfn,0.9208356193991388
xcrossot,success,logreg,xgboost,0.9222876175592022
xcrossot,success,random_forest,random_forest,1.0
xcrossot,success,random_forest,tabpfn,0.919433499038467
xcrossot,success,random_forest,xgboost,0.9306199810464362
xcrossot,success,tabpfn,tabpfn,1.0
xcrossot,success,tabpfn,xgboost,0.9694941836943932
xcrossot,success,xgboost,xgboost,1.0
