model,estimator,calibration,auc,auc_pr,log_loss,brier,brier_skill,ece,cal_slope,cal_intercept,std,p5,p25,p50,p75,p95,range_5_95,player_discrimination,stability,icc,stability_temporal,topk_overlap_temporal
xcross/success,adaboost,sigmoid,0.5776859758852614,0.40603941214063066,0.638441673515678,0.22347984813837668,0.01656281778933255,0.013400647285004189,1.1716688978431011,0.11342995220770252,0.05315478987290396,0.2619906336256329,0.3095957831106526,0.3478418247360911,0.38568154968209784,0.4321617203035955,0.1701710866779626,0.02061573268579001,0.7345836035047467,0.1304634341340932,0.6556519859677125,0.3333333333333333
xcross/shot,adaboost,sigmoid,0.5816247356834071,0.3510790318427668,0.6012653978033745,0.20596032676604648,0.01648310681197418,0.006820986554810462,1.1263004130073342,0.10865166914501038,0.05242117048806004,0.22215255960476615,0.25566053317159915,0.2923848893892545,0.348486714005744,0.37785102031760204,0.15569846071283588,0.020829825767576287,0.7168742137319124,0.13921926267698634,0.6622275425208239,0.3333333333333333
xcrossot/success,xgboost,sigmoid,0.8440209196648722,0.7250873065048656,0.46453885852818144,0.15372068965210536,0.32354239928899065,0.033048577507469264,1.0926895729696786,0.03730761937074349,0.2624485715039548,0.06532042859413083,0.09179325196020323,0.28670948777401534,0.5637758440752471,0.8298457195847276,0.7645252909905969,0.05683296653623795,0.2936195210622863,0.021028820005051112,0.17842951435649326,0.06666666666666667
xcrossot/shot,histgb,sigmoid,0.7697300529883456,0.5518750231788797,0.5061458531657576,0.17113286522218352,0.1827937614564218,0.016023384185647045,1.1764874951206135,0.09978810675376355,0.17893845005861278,0.016898826598087575,0.15277814929897113,0.29900665114730035,0.4429237424626605,0.5900205802371826,0.573121753639095,0.04152817068381364,0.2595779229775938,0.027851540917924755,0.25807881800699395,0.3333333333333333
