feature_set,label,estimator,calibration,auc,auc_pr,log_loss,brier,brier_skill,ece,cal_slope,cal_intercept,std,p5,p25,p50,p75,p95,range_5_95,player_discrimination,stability,icc,stability_temporal,topk_overlap_temporal
xcross,success,tabpfn,isotonic,0.5869468488181455,0.41365529049399874,0.6393307719796707,0.22244569104796197,0.02111369136219665,0.007194031936750244,0.8432792187429129,-0.08538014692796467,0.0755801526970414,0.20692218840122223,0.3003400961558024,0.35610106587409973,0.4041002889474233,0.44284680485725403,0.2359246164560318,0.02587144338761098,0.6840767896431521,0.10337257200120334,0.5565835924207913,0.4
xcross,success,tabpfn,sigmoid,0.5877136503879272,0.4147373417752478,0.6360635863216231,0.22244001667083613,0.021138661817018067,0.011889779806598045,1.0877606011139627,0.06415701785352468,0.06434357652619824,0.24300333723965553,0.3008247335583168,0.346033748896218,0.3919560522786913,0.4517006151694759,0.20869727792982037,0.02368306637879452,0.7015977521738408,0.11659926211758614,0.5693024312656214,0.5333333333333333
xcross,shot_in_window,tabpfn,isotonic,0.5893055802749516,0.35884092179037236,0.6054868988190687,0.20537714803212673,0.019267944773556867,0.004450326781297847,0.8027559347534241,-0.16311137480084223,0.07129266455917402,0.18194099267323813,0.24540232618649802,0.29001757502555847,0.35872402787208557,0.3947822650273641,0.21284127235412595,0.02587185699327662,0.6486884909748893,0.11351638910979896,0.6182186975243986,0.3333333333333333
xcross,shot_in_window,tabpfn,sigmoid,0.5896241365342774,0.3586168491813736,0.5994499730230812,0.2052485923646298,0.01988183324753423,0.009637009433553076,1.032818474449008,0.029920926987414304,0.06277618343607627,0.2053075468197872,0.24705755145492178,0.2921898052293532,0.34930981700555636,0.40329555699035724,0.19798801017057005,0.024734443396180535,0.6974939176794631,0.13365409305678605,0.660991681491457,0.3333333333333333
xcrossot,success,tabpfn,isotonic,0.8490000387281669,0.732328905340419,0.44795789181147866,0.14985537202995247,0.3405519735407395,0.00827673016807144,0.992191086504313,-0.010428205520101073,0.2786820273139981,0.0033333332588275275,0.0614053209622701,0.3424753447373708,0.5699108839035034,0.8183822830518087,0.8150489497929811,0.062262602814565825,0.33310611224721653,0.02407728995293568,0.18017246634634038,0.06666666666666667
xcrossot,success,tabpfn,sigmoid,0.8496534151788596,0.7325407172109735,0.45637584293674904,0.1509643742328612,0.33567173932463856,0.033208077475728334,1.028737433672282,0.001168460220381307,0.27762907044675605,0.05537763099848941,0.07399866313340735,0.2805624770756408,0.5923549816827557,0.8418516403036354,0.7864740093051459,0.0624370876678921,0.3267078989808303,0.02463090485275168,0.19454004355994478,0.06666666666666667
xcrossot,shot_in_window,tabpfn,isotonic,0.7776734543384833,0.5634716100841304,0.5011405861377014,0.16847418199964165,0.19548970102917151,0.004210995870389873,0.9908269547759702,-0.0183883013648568,0.2029603002499611,0.002923976629972458,0.1265412966410319,0.28929757078488666,0.45748164256413776,0.6454083681106566,0.6424843914806841,0.04930879948025194,0.2993416130480323,0.03269526041604776,0.3031517227237712,0.4
xcrossot,shot_in_window,tabpfn,sigmoid,0.7782859641996838,0.5637824581050741,0.5053851422102947,0.16938089469965983,0.19115989988863935,0.027804225559560792,1.036249806058528,0.007494423955864259,0.20154381747809752,0.06624091173317191,0.12531643473542875,0.24768219879953324,0.4504077049377749,0.6817038411601651,0.6154629294269932,0.04873100231712177,0.2593008240920855,0.03135505477095047,0.2884876497026729,0.26666666666666666
