feature_set,variant,block,n_features,estimator,calibration,auc,auc_pr,brier_skill,ece,stability_random,stability_temporal,icc,player_discrimination
xcross,full,-,62,adaboost,sigmoid,0.5671311898012824,0.3407884710908684,0.010983012295324057,0.008999565048366546,0.6588100686498857,0.6600173597411821,0.11770562127925877,0.014625158583741362
xcross,base,-,45,adaboost,sigmoid,0.5678697466524409,0.3423997798361875,0.011532621711148217,0.006714473245197428,0.6807622504537206,0.6598753254951473,0.12081944583624385,0.015574808108650112
xcross,drop-one,coverage,60,adaboost,sigmoid,0.5679690738788334,0.3405830936123502,0.011229241557697223,0.00779957442181111,0.6659433441174151,0.6757594886767143,0.12115372926090962,0.014955814895222018
xcross,drop-one,gk,58,adaboost,sigmoid,0.5647297857520144,0.33937700986464225,0.010358471270782266,0.009109273766171344,0.6602540834845735,0.6646571451116547,0.1172643559678393,0.014636955355895579
xcross,drop-one,marking,59,adaboost,sigmoid,0.5677819514853839,0.3431257385063732,0.011447223370668058,0.007549843810447804,0.6788132249664641,0.6527104868618323,0.11880623092281967,0.015363182200461626
xcross,drop-one,pocket,60,adaboost,sigmoid,0.5670944892328866,0.3407841374608199,0.010969120692450596,0.008743890155472453,0.6578079381361951,0.6584786554091376,0.11764728039201182,0.014619859816245275
xcross,drop-one,pressure,60,adaboost,sigmoid,0.5682926028573413,0.3407168402936622,0.01127091023401905,0.012448762780642605,0.6587390515268682,0.665840763828612,0.11749684869766565,0.014488163828154281
xcross,drop-one,shape,58,adaboost,sigmoid,0.5680154125552139,0.34145658338256046,0.011151592087605744,0.010817395295725745,0.6630316420737001,0.6698966306320524,0.11860586119632532,0.014604129789430343
xcrossot,full,-,93,adaboost,sigmoid,0.7335104388285281,0.49185004437074614,0.13806432649545652,0.0094566356298398,0.35694784186853945,0.2497672216523317,0.033439656502555974,0.04083695380941474
xcrossot,base,-,56,adaboost,sigmoid,0.706597305959423,0.45531459237245786,0.10864173396044574,0.011313188697536595,0.41575791051842503,0.2756174544306794,0.03962671191077216,0.0378122120089861
xcrossot,drop-one,clearance,91,adaboost,sigmoid,0.7310628223663029,0.4897159370028362,0.13477222532105027,0.009900568393831898,0.3034798390278545,0.2549909255898367,0.031333322244874895,0.039467633689354936
xcrossot,drop-one,coverage,91,adaboost,sigmoid,0.7335104388285281,0.49185004437074614,0.13806432649545652,0.0094566356298398,0.35694784186853945,0.2497672216523317,0.033439656502555946,0.040836953809414746
xcrossot,drop-one,flight,85,adaboost,sigmoid,0.7170046528071516,0.46681999626877924,0.12037569807386017,0.008484578439383533,0.4562139982640259,0.24845735027223229,0.03855599302682929,0.03974590046739032
xcrossot,drop-one,gk,89,adaboost,sigmoid,0.7335104388285281,0.49185004437074614,0.13806432649545652,0.0094566356298398,0.35694784186853945,0.2497672216523317,0.03343965650255601,0.040836953809414746
xcrossot,drop-one,marking,90,adaboost,sigmoid,0.7335104388285281,0.49185004437074614,0.13806432649545652,0.0094566356298398,0.35694784186853945,0.2497672216523317,0.03343965650255601,0.04083695380941474
xcrossot,drop-one,pocket,91,adaboost,sigmoid,0.7335104388285281,0.49185004437074614,0.13806432649545652,0.0094566356298398,0.35694784186853945,0.2497672216523317,0.03343965650255594,0.04083695380941475
xcrossot,drop-one,pressure,91,adaboost,sigmoid,0.7335104388285281,0.49185004437074614,0.13806432649545652,0.0094566356298398,0.35694784186853945,0.2497672216523317,0.033439656502556,0.04083695380941474
xcrossot,drop-one,shape,89,adaboost,sigmoid,0.733427525847175,0.4917330890778251,0.13799041548539925,0.009253235277780675,0.36385228438412376,0.24906494121360373,0.033424214334905396,0.04084786316674516
xcrossot,drop-one,support,90,adaboost,sigmoid,0.7326552987497817,0.4895134245565005,0.13717336421322812,0.009202204203888616,0.36600647044898604,0.24896236092480079,0.03386614054903195,0.04095624497263576
xcrossot,drop-one,swing,90,adaboost,sigmoid,0.7340196592150202,0.4918447997233738,0.1385447486210315,0.009541461674009141,0.35601672847786636,0.246839738025724,0.032863977823750085,0.04078823670473742
xcrossot,drop-one,temporal,89,adaboost,sigmoid,0.7312290271192791,0.49134084154160307,0.1356819030443306,0.010249506925243883,0.3478655409137537,0.2508482600804861,0.03332227293771407,0.040721932558440296
