league,feature_set,n,auc,auc_pr,log_loss,brier,brier_skill,ece,cal_slope,cal_intercept,std,p5,p25,p50,p75,p95,range_5_95,player_discrimination,stability,icc
brasileirao,xcross,3000,0.5837869484894589,0.33278901598950633,0.5908361276105509,0.20121686901305041,0.01600096657386796,0.006392932163827329,1.0630853887279166,0.023023455388093104,0.05459474996652929,0.21185836975158395,0.2506988375396006,0.28699119278364116,0.34489715468404725,0.37587768275900374,0.1640193130074198,0.021025593281057516,0.6983805668016194,0.12432493964193599
brasileirao,xcrossot,3000,0.7932954792436426,0.563177331556948,0.48267745891143765,0.16229831955015558,0.20632206262149533,0.030745844650587287,1.2834002944771756,0.2526681190335375,0.17590712204799777,0.0142445366769817,0.12659996288034242,0.2689437084997287,0.4109052816635857,0.5748270909028935,0.5605825542259119,0.04125448748890361,0.15566801619433202,0.01979364395548171
champions-league,xcross,1228,0.582296918767507,0.3770412962239039,0.6089023313171362,0.20940922987522056,0.01716225302161667,0.01411196857218561,1.089270647749686,0.14529768466317133,0.052505868614519696,0.21981710103664498,0.2503652447929027,0.2880181983090336,0.34502906170562087,0.37594561159809003,0.15612851056144506,NaN,NaN,NaN
champions-league,xcrossot,1228,0.772981637099284,0.5944832454916289,0.5119798398708215,0.17260810373015933,0.18988403767376105,0.03848205605137739,1.2334745835863308,0.18974078229771024,0.17379404704434853,0.02269623927368704,0.15968409433296937,0.2979209094618996,0.4369424807783261,0.58141965420062,0.558723414926933,NaN,NaN,NaN
premier-league,xcross,7171,0.5818116349024178,0.3559666899179737,0.6038500361517557,0.20714741371485104,0.016627360348685727,0.009842330316225504,1.1560986003709532,0.13344598902555613,0.05129628661825593,0.22614608828894114,0.2589768899013774,0.2948718507979156,0.35030062261400163,0.37882059704130966,0.15267450875236852,0.020846576069976166,0.7258976317799847,0.14335898994843363
premier-league,xcrossot,7171,0.7608736793206691,0.5439886057602075,0.5143610545412398,0.17430111914340635,0.17255567640262892,0.014142685693336944,1.129550258414602,0.03279959983434351,0.1804972618209705,0.017816633683238103,0.1630470626966391,0.3110767719253488,0.45539000813446223,0.5957713171240997,0.5779546834408615,0.039464467925659205,0.226599069379818,0.02433681199362369
