feature,importance,importance_std
flight_pace_3d,0.01660367279971701,0.016414563509767662
entropy_general_in_zone,0.012301890171953414,0.011285891166464739
temporal_entropy_diff_zone_delta,-0.0015160547755480591,0.005440591139174777
pitch_control_in_zone,-0.002928484154079203,0.0002507832481390026
temporal_pitch_control_zone_delta,-0.006062916473559092,0.0014102631762344085
end_y,-0.006204804356333933,0.008642011670071528
entropy_defense_in_zone,-0.008239605584308992,0.0027242377300524053
support_attackers_ring,-0.008394392365517941,0.0009389764610592158
flight_descent_angle,-0.015179212941840695,0.0018276139165328813
polar_angle_cross,-0.016307866554822154,0.004764351363407374
flight_hang_time,-0.01658841759576331,0.004431032117132884
entropy_attack_in_zone,-0.016736754927755098,0.006730042749423517
distance_from_end_line,-0.017291407560420285,0.005535793733481904
support_ratio_ring,-0.017807363497783224,0.0009606540665996277
clearance_min_margin_over_defender,-0.018758657257296196,0.004291528158102984
attackers_in_box,-0.021757651143218332,0.002757307371719109
clearance_over_keeper,-0.02184471870764826,0.0012567575537692254
entropy_diff_grad_towards_goal,-0.02214784282084903,0.0002437601732187849
temporal_defenders_in_box_delta,-0.02231230377588352,0.0007405782088685245
attackers_near_action_line,-0.02248966362935197,0.002172923675142815
defenders_in_box,-0.022828259713246424,0.0027499282247039573
swing_inout,-0.02326359753539642,0.0024426474732814917
entropy_attack_sum,-0.023908542457100057,0.0012150580889992465
box_ratio,-0.024014958369181178,0.00017774054871295185
start_x,-0.02419554294725823,0.001358348018041983
pitch_control_in_second_post,-0.024208441845692263,0.0010626140400843537
flight_apex_height,-0.02430195885933935,0.0023941750632871565
pitch_control_in_center_box,-0.02434065555464156,0.00032282698567725083
entropy_diff_sum,-0.02469215053697001,0.00013248870433249507
pitch_control_around,-0.024824364245919345,0.002286386600128517
distance_start_from_goal,-0.02495980267947706,0.0005139365325989961
attackers_in_zone,-0.02528227514032892,0.0015198890307187303
pitch_control_sum,-0.025540253109010386,0.0012597327971011966
coverage_kl_attack_defense_in_zone,-0.02559829815196372,0.001657313950085038
entropy_attack_grad_towards_goal,-0.02571116351326182,0.0014937960272632712
coverage_kl_attack_defense_in_box,-0.026065883220198982,0.0005107092378460384
support_defenders_ring,-0.026156175509237434,0.0003017143059287164
pocket_radius_in_box,-0.026204546378365223,0.0008993686980989323
shape_block_area,-0.02628193976896968,0.001779118880534819
flight_apex_timing,-0.026446400724004098,0.0005825427295614086
cross_region_mid_halfspace,-0.026520569390000064,0.0011917789905447436
defenders_in_zone,-0.02659151333138739,0.0008482435653890165
entropy_general_grad_towards_goal,-0.026688255069643008,0.0007630137278979227
entropy_diff_in_first_post,-0.02680756988015816,0.0002914408979618507
entropy_general_sum,-0.02685594074928595,0.0005097309448487877
