estimator,feature_set,label,calibration,auc,auc_lo,auc_hi,stability,stability_lo,stability_hi
xgboost,xcross,shot,isotonic,0.5771583553559811,0.5667594941702101,0.5875148984596471,0.44741217350823814,0.3608677490149135,0.5385518673693894
xgboost,xcross,shot,sigmoid,0.5785072627754247,0.5679274656813271,0.5891208895710947,0.4648444643955642,0.38989586623882605,0.5557214685132537
adaboost,xcross,shot,isotonic,0.5812414908187639,0.5700756876771564,0.5923853988121636,0.6996455905254348,0.6263735791754645,0.7519389994513442
adaboost,xcross,shot,sigmoid,0.5816996494181188,0.5695451155116512,0.5924187139623274,0.723065988328595,0.658771634495486,0.7738282873626282
catboost,xcross,shot,isotonic,0.5822208976788367,0.571723777830279,0.5931277563214628,0.5818522397902917,0.505700963195726,0.6520086898210496
catboost,xcross,shot,sigmoid,0.5818343177507705,0.5704147013156954,0.592989004577077,0.6210492626398656,0.5527777777777778,0.7016553194673051
lightgbm,xcross,shot,isotonic,0.5769866239526917,0.5662590482827266,0.5881178855215019,0.44616661401787844,0.35523938572719066,0.5264617658957778
lightgbm,xcross,shot,sigmoid,0.5751318945309924,0.5644304636560875,0.586561453445657,0.5000942136210729,0.41132122134104776,0.5820824396894276
histgb,xcross,shot,isotonic,0.5753797353552481,0.5639043845688586,0.586181453303744,0.44251029422359667,0.3506495890623528,0.5337185007841898
histgb,xcross,shot,sigmoid,0.5754265949041297,0.5643770297040483,0.5863484697056,0.47523013062441466,0.38619257818345054,0.5600875771027648
random_forest,xcross,shot,isotonic,0.5806254346624422,0.5695627076981894,0.5918058212040535,0.6562713019768234,0.588196072400397,0.7266597530494733
random_forest,xcross,shot,sigmoid,0.5808818440789396,0.5697275920634663,0.5920756094037081,0.6935494150442527,0.6302772097250624,0.7518672308399976
logreg,xcross,shot,isotonic,0.5940802828750998,0.5836204972090794,0.6053239522139526,0.5564339590226168,0.4782667187612571,0.6346002294378772
logreg,xcross,shot,sigmoid,0.5936449398987009,0.5834767862628568,0.6047667315755949,0.5831365931246224,0.4951825666007171,0.6485317915551344
tabpfn,xcross,shot,isotonic,0.5888189768086342,0.578318956671594,0.5998625000319273,0.672650617099218,0.6032722607389673,0.7326691273047701
tabpfn,xcross,shot,sigmoid,0.5896719805672671,0.5785531102301261,0.6012372955213396,0.710721232979201,0.6541880032808508,0.7639078701625464
xgboost,xcrossot,success,isotonic,0.8436936386860836,0.8367029712112096,0.8500936378736501,0.24853553239008874,0.13811682211914145,0.34073866249909945
xgboost,xcrossot,success,sigmoid,0.8442580962448927,0.8372417153169404,0.8506836958038556,0.24465476249854523,0.12848604252913695,0.33238780266125767
adaboost,xcrossot,success,isotonic,0.810170912186387,0.8026432203961062,0.8172852192271747,0.2634670058357026,0.16525422437250958,0.3600513464234847
adaboost,xcrossot,success,sigmoid,0.8103352793217256,0.8027320176755345,0.8172752702443906,0.261676947035319,0.15963133378777553,0.3536542415526405
