feature_set,variant,n_features,auc,auc_pr,brier_skill,ece,stability,icc,player_discrimination
xcross,with_entropy,62,0.5776859758852614,0.40603941214063066,0.01656281778933255,0.013400647285004189,0.7345836035047467,0.1304634341340932,0.02061573268579002
xcross,no_entropy,38,0.5674156694163666,0.3972506523845811,0.012735998838227625,0.006384168620153055,0.7165721759467084,0.1263644507145874,0.018240330833234817
xcrossot,with_entropy,93,0.8440209196648722,0.7250873065048656,0.32354239928899065,0.033048577507469264,0.2936195210622863,0.021028820005051106,0.056832966536237935
xcrossot,no_entropy,65,0.8376729858125815,0.7182684495297921,0.31089819102439775,0.03786953217964387,0.2438636451804191,0.019501028130158964,0.05552548358325782
