player_id,n,xcross,xcrossot,actual,xcross_se,execution,over_expected,xcross_ci_low,xcross_ci_high,nickname,position_group,league,season
18594,24,0.3897009722148021,0.35965522267780675,0.4583333333333333,0.012831049596199785,-0.030045749536995348,0.06863236111853122,0.3645521150062505,0.4148498294233537,Guilherme,CM,brasileirao,2023
16558,49,0.3758395062670073,0.3953352769041925,0.3877551020408163,0.0060257248126994,0.019495770637185217,0.011915595773809018,0.36402908563411646,0.38764992689989813,Raphael Veiga,AM,brasileirao,2023
13930,27,0.374436472232311,0.40159031056999894,0.25925925925925924,0.009451298325226298,0.02715383833768792,-0.11517721297305178,0.3559119275148675,0.39296101694975455,Giorgian De Arrascaeta,AM,brasileirao,2023
15810,20,0.37369151102318376,0.2941554266210752,0.3,0.010755703386065983,-0.07953608440210858,-0.07369151102318378,0.3526103323864944,0.3947726896598731,Calebe,CM,brasileirao,2023
16017,36,0.3727684124083856,0.49270887930009377,0.5833333333333334,0.007514253053280517,0.11994046689170818,0.21056492092494777,0.35804047642395576,0.38749634839281544,Fagner,RB,brasileirao,2023
3893,24,0.371968874909713,0.38311988893445686,0.4166666666666667,0.008974685460725848,0.011151014024743888,0.04469779175695371,0.3543784914066903,0.38955925841273564,Jean Lucas,CM,brasileirao,2023
16557,45,0.3689277771968425,0.3449291289545398,0.4222222222222222,0.006069372419551981,-0.02399864824230269,0.05329444502537972,0.3570318072545206,0.3808237471391644,Joaquín Piquerez,LB,brasileirao,2023
18027,38,0.3680109109541782,0.30520798694711165,0.2631578947368421,0.008051253150938577,-0.06280292400706655,-0.10485301621733611,0.3522304547783386,0.3837913671300178,Lucas Evangelista,CM,brasileirao,2023
18082,21,0.3674668422212867,0.26078081821931737,0.3333333333333333,0.009957256821397866,-0.10668602400196936,-0.03413350888795341,0.3479506188513469,0.3869830655912265,Hugo,LB,brasileirao,2023
17989,35,0.36519797075627913,0.29947488320858956,0.2571428571428571,0.008151354982442002,-0.06572308754768957,-0.10805511361342202,0.3492213149906928,0.38117462652186546,Sander,LB,brasileirao,2023
