player_id,n,xcross,xcrossot,actual,xcross_se,execution,over_expected,xcross_ci_low,xcross_ci_high,nickname,position_group
1940,49,0.4091037563571547,0.43285392439616116,0.4489795918367347,0.006385912931826092,0.02375016803900648,0.03987583547958001,0.3965873670107755,0.42162014570353384,Eberechi Eze,AM
265,43,0.3988833201432625,0.4498725917594685,0.37209302325581395,0.007588547306827045,0.05098927161620598,-0.02679029688744855,0.3840097674218815,0.4137568728646435,Declan Rice,CM
5092,27,0.3987178762681665,0.37496609168620615,0.37037037037037035,0.01087517191341641,-0.023751784581960367,-0.028347505897796166,0.3774025393178704,0.42003321321846265,Michael Olise,RM
7443,24,0.3939065380529702,0.4379497455112775,0.5,0.010434484135461228,0.04404320745830731,0.10609346194702979,0.3734549491474662,0.41435812695847424,Christian Eriksen,CM
394,46,0.3934061475239555,0.44244191404799676,0.5434782608695652,0.006652046433092978,0.04903576652404129,0.15007211334560971,0.3803681365150932,0.40644415853281773,James Ward-Prowse,AM
1688,43,0.392685307143646,0.4397832213436117,0.4186046511627907,0.007753039111993758,0.047097914199965674,0.025919344019144697,0.37748935048413823,0.4078812638031538,Martin Ödegaard,CM
18594,24,0.3897009722148021,0.35965522267780675,0.4583333333333333,0.012831049596199785,-0.030045749536995348,0.06863236111853122,0.3645521150062505,0.4148498294233537,Guilherme,CM
5152,26,0.38910531382534985,0.32370425321088664,0.34615384615384615,0.013333413974830177,-0.06540106061446321,-0.04295146767150371,0.36297182243468273,0.41523880521601697,James Garner,CM
3867,44,0.3868583971580357,0.3785926553641339,0.29545454545454547,0.007566042431053951,-0.008265741793901826,-0.09140385170349025,0.37202895399317,0.40168784032290145,Pablo Sarabia,RW
453,20,0.38319439394685123,0.3013659475338531,0.25,0.009598383148900328,-0.08182844641299813,-0.13319439394685123,0.36438156297500657,0.4020072249186959,Alexis MacAllister,CM
448,50,0.3824246587693277,0.49127472909558895,0.42,0.006531478025834331,0.10885007032626126,0.0375753412306723,0.3696229618386924,0.39522635569996295,Pascal Groß,RW
42,79,0.3820757012263727,0.4221921069946585,0.4050632911392405,0.0059766459921737,0.04011640576828579,0.022987589912867812,0.37036147508171224,0.39378992737103313,Trent Alexander-Arnold,RB
7398,26,0.38155157654475275,0.39165114843053617,0.2692307692307692,0.008954525940990669,0.01009957188578342,-0.11232080731398353,0.36400070570041104,0.39910244738909445,Ryan Manning,LB
5074,70,0.381488012906633,0.32387453715085707,0.2571428571428571,0.0063727604775293475,-0.05761347575577591,-0.12434515576377586,0.36899740237067546,0.3939786234425905,Bryan Mbeumo,RW
5063,22,0.38125892752810875,0.49672864892682633,0.45454545454545453,0.007926431495871755,0.11546972139871758,0.07328652701734578,0.3657231217962001,0.3967947332600174,Mathias Jensen,CM
11856,28,0.3793449699776444,0.4285730662599715,0.5714285714285714,0.008588688506550327,0.049228096282327105,0.192083601450927,0.36251114050480576,0.396178799450483,Enzo Fernandez,CM
2003,42,0.3792362774866975,0.3343644518321514,0.2619047619047619,0.009012311420426689,-0.044871825654546116,-0.11733151558193561,0.3615721471026612,0.39690040787073383,Leif Davis,LWB
133,100,0.3782410722175399,0.3360337180708516,0.26,0.005593494256152574,-0.0422073541466883,-0.11824107221753988,0.3672778234754808,0.38920432095959895,Bruno Fernandes,AM
296,58,0.37805394917571344,0.3788807058093713,0.3448275862068966,0.006434680326966332,0.0008267566336578325,-0.03322636296881687,0.3654419757348594,0.39066592261656746,Lewis Cook,CM
12779,58,0.3772215798882966,0.3795171439691582,0.3275862068965517,0.006335226181250438,0.002295564080861623,-0.049635372991744864,0.36480453657304573,0.3896386232035474,Mikkel Damsgaard,CM
421,22,0.37657747372261524,0.3355464554924232,0.4090909090909091,0.011654596312048912,-0.04103101823019206,0.032513435368293875,0.35373446495099936,0.3994204824942311,Will Hughes,CM
215,32,0.3762277104543245,0.3578145370871687,0.25,0.010203355102287632,-0.01841317336715581,-0.12622771045432452,0.35622913445384075,0.3962262864548083,Youri Tielemans,CM
16558,49,0.3758395062670073,0.3953352769041925,0.3877551020408163,0.0060257248126994,0.019495770637185217,0.011915595773809018,0.36402908563411646,0.38764992689989813,Raphael Veiga,AM
11844,26,0.37559669544000723,0.3992876917221929,0.4230769230769231,0.009044420332548358,0.023690996282185683,0.04748022763691584,0.35786963158821244,0.393323759291802,Mateus Fernandes,AM
13930,27,0.374436472232311,0.40159031056999894,0.25925925925925924,0.009451298325226298,0.02715383833768792,-0.11517721297305178,0.3559119275148675,0.39296101694975455,Giorgian De Arrascaeta,AM
