player_id,n,xcross,xcrossot,actual,xcross_se,execution,over_expected,xcross_ci_low,xcross_ci_high,nickname,position_group,league,season
18594,24,0.3389751836314707,0.3159334013596886,0.25,0.01108798493223773,-0.023041782271782107,-0.08897518363147072,0.31724273316428475,0.3607076340986567,Guilherme,CM,brasileirao,2023
15810,20,0.3374950446144538,0.25830778700225626,0.15,0.011298799588723773,-0.07918725761219753,-0.1874950446144538,0.3153493974205552,0.3596406918083524,Calebe,CM,brasileirao,2023
16558,49,0.33636658764727756,0.3599725939005259,0.40816326530612246,0.005929706440398958,0.023606006253248324,0.0717966776588449,0.3247443630240956,0.3479888122704595,Raphael Veiga,AM,brasileirao,2023
18027,38,0.33395006613560096,0.2772015564201665,0.21052631578947367,0.007776963680083858,-0.05674850971543449,-0.12342375034612729,0.3187072173226366,0.3491929149485653,Lucas Evangelista,CM,brasileirao,2023
13930,27,0.328282407827523,0.3135000572660018,0.2222222222222222,0.011224818931136464,-0.014782350561521218,-0.10606018560530078,0.3062817627224955,0.35028305293255046,Giorgian De Arrascaeta,AM,brasileirao,2023
18028,26,0.3266963361307778,0.3320519139602763,0.07692307692307693,0.008854305032046277,0.00535557782949847,-0.24977325920770088,0.3093418982679671,0.3440507739935885,Helinho,RW,brasileirao,2023
1906,24,0.3254147509295265,0.32435653689979166,0.375,0.010358992329001145,-0.0010582140297348275,0.049585249070473514,0.30511112596468426,0.3457183758943687,Marcal,LB,brasileirao,2023
3893,24,0.3241007698270075,0.3137491155959565,0.3333333333333333,0.012230628400858761,-0.010351654231051,0.009232563506325842,0.3001287381613243,0.34807280149269065,Jean Lucas,CM,brasileirao,2023
18081,20,0.3218802949384108,0.34406865939704756,0.35,0.01261251032144655,0.022188364458636756,0.028119705061589173,0.29715977470837557,0.34660081516844604,Lucas Lima,CF,brasileirao,2023
16017,36,0.3217253412427271,0.3942787977096653,0.4444444444444444,0.00842651801390546,0.07255345646693817,0.1227191032017173,0.30520936593547243,0.3382413165499818,Fagner,RB,brasileirao,2023
17912,22,0.32038787639329963,0.3529231156185594,0.5909090909090909,0.011804546088656626,0.03253523922525975,0.2705212145157913,0.29725096605953266,0.3435247867270666,Emmanuel Martínez,CM,brasileirao,2023
18548,21,0.31597885931666037,0.2565998358507803,0.2857142857142857,0.012516151510322593,-0.05937902346588009,-0.030264573602374667,0.29144720235642807,0.34051051627689266,Denilson,CM,brasileirao,2023
2353,22,0.310852677952709,0.2948938975676441,0.45454545454545453,0.013687295495721386,-0.015958780385064875,0.14369277659274554,0.2840255787810951,0.3376797771243229,Marcelino Moreno,CF,brasileirao,2023
18472,31,0.30750955496552956,0.2971939437143842,0.3225806451612903,0.010746954406115344,-0.010315611251145385,0.01507109019576075,0.2864455243295435,0.3285735856015156,Reinaldo,LB,brasileirao,2023
16148,41,0.3055484762638352,0.30381109929046946,0.21951219512195122,0.008186302634837961,-0.001737376973365734,-0.08603628114188397,0.2895033230995528,0.3215936294281176,Jhon Arias,AM,brasileirao,2023
18082,21,0.3037253918086554,0.23014463738592003,0.2857142857142857,0.012879598800060489,-0.07358075442273534,-0.018011106094369678,0.2784813781605368,0.32896940545677394,Hugo,LB,brasileirao,2023
17989,35,0.3030063978632937,0.29067362207620717,0.2571428571428571,0.009848055358000825,-0.012332775787086525,-0.04586354072043658,0.28370420936161206,0.32230858636497534,Sander,LB,brasileirao,2023
16557,45,0.30286910800511824,0.29667660705207566,0.3111111111111111,0.007246538595718313,-0.006192500953042579,0.008242003105992879,0.28866589235751033,0.31707232365272614,Joaquín Piquerez,LB,brasileirao,2023
18579,30,0.2994223087737364,0.2535071662205987,0.23333333333333334,0.008976942727327146,-0.04591514255313767,-0.06608897544040304,0.28182750102817516,0.3170171165192976,Bruno Rodrigues,LW,brasileirao,2023
14526,25,0.2992676893477454,0.3532679151502887,0.48,0.009143141455729895,0.05400022580254332,0.1807323106522546,0.2813471320945148,0.317188246600976,Leonel Di Placido,RB,brasileirao,2023
18088,26,0.2992589461517917,0.26749156707593885,0.34615384615384615,0.010350971819770056,-0.031767379075852864,0.04689490000205443,0.2789710413850424,0.319546850918541,Artur,RW,brasileirao,2023
3084,30,0.2987298116281768,0.28906576825258123,0.3,0.008904019600934938,-0.009664043375595566,0.0012701883718231888,0.28127793321034433,0.31618169004600927,Yeferson Soteldo,LW,brasileirao,2023
16015,36,0.29714219073391607,0.31080943444231607,0.2777777777777778,0.007649270737474439,0.013667243708400001,-0.019364412956138277,0.28214962008846617,0.31213476137936597,Matheus Bidu,LB,brasileirao,2023
18029,25,0.29611397796753974,0.23812749020805568,0.12,0.011752134334225776,-0.05798648775948406,-0.17611397796753975,0.27307979467245724,0.31914816126262224,Sorriso,RW,brasileirao,2023
12963,53,0.29577617612654433,0.2777406807533295,0.33962264150943394,0.007308023942753624,-0.018035495373214805,0.04384646538288961,0.28145244919874723,0.31009990305434143,Marlon,LB,brasileirao,2023
16550,54,0.29390572309685087,0.2603429089610934,0.3333333333333333,0.006395607012980552,-0.03356281413575746,0.03942761023648245,0.281370333351409,0.30644111284229275,Mayke,RB,brasileirao,2023
8378,27,0.2930709993620964,0.24994481983674002,0.2962962962962963,0.008554820950837191,-0.043126179525356384,0.0032252969341998727,0.2763035502984555,0.3098384484257373,Vitinho,LW,brasileirao,2023
4995,45,0.29195614906703116,0.29127220159164424,0.28888888888888886,0.006172832365864595,-0.0006839474753869146,-0.003067260178142295,0.27985739762993656,0.30405490050412576,William,RB,brasileirao,2023
18421,25,0.28913808206095626,0.32640478640053394,0.32,0.01116157936869272,0.03726670433957768,0.030861917939043748,0.26726138649831854,0.311014777623594,Lucas Piton,LB,brasileirao,2023
2364,21,0.2826046646111653,0.25826046106284123,0.2857142857142857,0.011437835270700789,-0.02434420354832406,0.003109621103120408,0.26018650748059174,0.30502282174173884,Tomás Pochettino,AM,brasileirao,2023
